Tuvalu,TUV,Population density (people per sq. km of land area),383.6
Tanzania,TZA,Population density (people per sq. km of land area),63.5790787988259
Uganda,UGA,Population density (people per sq. km of land area),213.061734490325
Ukraine,UKR,Population density (people per sq. km of land area),77.0296673514129
Upper middle income,UMC,Population density (people per sq. km of land area),45.4691766291018
Uruguay,URY,Population density (people per sq. km of land area),19.7080276539824
United States,USA,Population density (people per sq. km of land area),35.766088580168
Uzbekistan,UZB,Population density (people per sq. km of land area),77.4692054536906
St. Vincent and the Grenadines,VCT,Population density (people per sq. km of land area),282.589743589744
"Venezuela, RB",VEN,Population density (people per sq. km of land area),32.7307919052208
British Virgin Islands,VGB,Population density (people per sq. km of land area),198.68
Virgin Islands (U.S.),VIR,Population density (people per sq. km of land area),305.648571428571
Vietnam,VNM,Population density (people per sq. km of land area),308.125245912213
Vanuatu,VUT,Population density (people per sq. km of land area),24.0098441345365
World,WLD,Population density (people per sq. km of land area),59.6362362611782
Samoa,WSM,Population density (people per sq. km of land area),69.3038869257951
Kosovo,XKX,Population density (people per sq. km of land area),
"Yemen, Rep.",YEM,Population density (people per sq. km of land area),53.9778529083092
South Africa,ZAF,Population density (people per sq. km of land area),47.6301197767684
Zambia,ZMB,Population density (people per sq. km of land area),23.3414789007116
Zimbabwe,ZWE,Population density (people per sq. km of land area),37.3245909267158
